location	time	cases	deaths	hospitalized	ICU	recovered
Iceland	2020-01-22	0	0			
Iceland	2020-01-23	0	0			
Iceland	2020-01-24	0	0			
Iceland	2020-01-25	0	0			
Iceland	2020-01-26	0	0			
Iceland	2020-01-27	0	0			
Iceland	2020-01-28	0	0			
Iceland	2020-01-29	0	0			
Iceland	2020-01-30	0	0			
Iceland	2020-01-31	0	0			
Iceland	2020-02-01	0	0			
Iceland	2020-02-02	0	0			
Iceland	2020-02-03	0	0			
Iceland	2020-02-04	0	0			
Iceland	2020-02-05	0	0			
Iceland	2020-02-06	0	0			
Iceland	2020-02-07	0	0			
Iceland	2020-02-08	0	0			
Iceland	2020-02-09	0	0			
Iceland	2020-02-10	0	0			
Iceland	2020-02-11	0	0			
Iceland	2020-02-12	0	0			
Iceland	2020-02-13	0	0			
Iceland	2020-02-14	0	0			
Iceland	2020-02-15	0	0			
Iceland	2020-02-16	0	0			
Iceland	2020-02-17	0	0			
Iceland	2020-02-18	0	0			
Iceland	2020-02-19	0	0			
Iceland	2020-02-20	0	0			
Iceland	2020-02-21	0	0			
Iceland	2020-02-22	0	0			
Iceland	2020-02-23	0	0			
Iceland	2020-02-24	0	0			
Iceland	2020-02-25	0	0			
Iceland	2020-02-26	0	0			
Iceland	2020-02-27	0	0			
Iceland	2020-02-28	1	0			
Iceland	2020-02-29	1	0			
Iceland	2020-03-01	4	0			
Iceland	2020-03-02	10	0			
Iceland	2020-03-03	15	0			
Iceland	2020-03-04	30	0			
Iceland	2020-03-05	38	0			
Iceland	2020-03-06	47	0	0	0	
Iceland	2020-03-07	54	0	0	0	
Iceland	2020-03-08	59	0	0	0	
Iceland	2020-03-09	68	0	1	0	
Iceland	2020-03-10	82	0	1	0	
Iceland	2020-03-11	106	0	0	0	
Iceland	2020-03-12	122	0	2	0	
Iceland	2020-03-13	142	0	2	0	
Iceland	2020-03-14	166	0	2	1	
Iceland	2020-03-15	186	0	3	1	
Iceland	2020-03-16	208	0	3	2	
Iceland	2020-03-17	261	1	4	2	
Iceland	2020-03-18	339	1	5	2	
Iceland	2020-03-19	415	1	7	1	
Iceland	2020-03-20	475	1	6	1	
Iceland	2020-03-21	567	1	12	1	
Iceland	2020-03-22	589	1	14	1	
Iceland	2020-03-23	656	2	13	0	
Iceland	2020-03-24	762	2	11	2	
Iceland	2020-03-25	802	2	15	2	
Iceland	2020-03-26	890	2	17	3	
